Title,Company,Experience,Salary,Location,Skills,Posted,Scraped_At
Data Analyst,Cintal,6-10 Yrs,"50,000-7 Lacs PA",Chennai,"Power Bi, Power Automate, Powerapps, SQL, Python, Bi, Data analysis, Data",Few hours ago,2026-03-16 20:48
Data Analyst,Great Place to Work,0-2 Yrs,2-5 Lacs PA,Hybrid - Mumbai(Lower Parel),"Power Bi, Data Analysis, Excel, Research Analysis, Data Visualization, Dashboards, Data Reporting, SQL",Today,2026-03-17 21:38
Data Analyst,Govindappa Mohan Kumar,0-5 Yrs,,Bengaluru,"Data Engineering, Data Manipulation, Data Analysis, Data Visualization, Data Analytics, Engineering, Analysis, Analytics",Few hours ago,2026-03-17 21:38
Data Analyst,Adani Group,3-5 Yrs,,Ahmedabad,"Data Analytics, Data Engineering, GCP, Bigquery, Data Bricks, SQL, Python, azure",Few hours ago,2026-03-17 21:38
Data Analyst,Aimpakt Mediatek,6-10 Yrs,7-11 Lacs PA,Mumbai(Andheri East),"Power Bi, Data Analytics, Machine Learning, Predictive Analytics, Python, Predictive Modeling, Analytics, Data analysis",Just now,2026-03-17 21:38
Data Analyst - Quantum,Tata Consultancy Services,1-6 Yrs,,Mumbai (All Areas),"Quantum, Data Analyst, SPSS, Data analysis, Data",Today,2026-03-17 21:38
Data Analyst - Banking Domain,Capgemini,6-10 Yrs,,"Hybrid - Pune, Chennai, Bengaluru","Data Migration, Banking Sector, SQL, Migration, Data, DNS, Data analysis",Just now,2026-03-17 21:38
Data Analyst,Bristlecone,4-9 Yrs,10-30 Lacs PA,Bengaluru,"Power Bi, Looker, SQL, Data analysis, Data, Bi",Today,2026-03-17 21:38
Data Analyst,ESDS Software Solution Private Limited.,3-5 Yrs,,Chennai,"python, charts, data analysis, data interpretation, sas, data validation, bi, strong analytical skills",Few hours ago,2026-03-17 21:38
Data Analyst,Greedygame Media,2-4 Yrs,,Bengaluru,"Bidding, Analytical, Data processing, Data Analyst, SDK, Gaming, Advertising, Analytics",Few hours ago,2026-03-17 21:38
Data Analyst,Talent Corner HR Services,1-2 Yrs,3-5 Lacs PA,"Mumbai, Mumbai (All Areas)","Data Analysis, Data Visualization, Data Analytics, Analysis, Analytics, Data",Today,2026-03-17 21:38
Data Analyst,Vivre Panels,1-2 Yrs,"50,000-3 Lacs PA",Kolkata,"Power Bi, Advanced Excel, SQL, Data analysis, Data, Bi, Excel",Few hours ago,2026-03-17 21:38
Data Analyst,HRS Group,3-8 Yrs,,Mohali,"Procurement, Microstrategy, Computer science, Automation, Google Analytics, Analytical, Marketing operations, Data Analyst",Few hours ago,2026-03-17 21:38
Data Analyst,Quest Global,5-6 Yrs,,"Chennai, Bengaluru","GIT, Power Bi, Snowflake, SQL, Python, Generative Ai, ETL Tool, AWS",2 weeks ago,2026-03-17 21:38
Informatica Data Analyst,Tata Consultancy Services,3-5 Yrs,"50,000-3 Lacs PA","Hyderabad, Chennai, Bengaluru","Unix/Linux, Informatica, SQL, Hadoop, Linux, Data analysis, Data, Unix Linux",2 weeks ago,2026-03-17 21:38
Factory Data Analyst,Britannia,1-5 Yrs,,Pune,"Data Analytics, Data Science, Business Intelligence, Report Development, Power Bi, Data Visualization, Reporting And Analytics, Science",Few hours ago,2026-03-19 18:48
Data Analyst,eAspire Technolabs Inc.,0-1 Yrs,,Gurugram,"Power Bi, Bi Tools, Tableau, Data, Tools, Data analysis, Bi",Just now,2026-03-19 18:48
data analyst,Target,2-6 Yrs,,Bengaluru,"Analytical, Agile, Data analytics, Oracle, Business intelligence, Econometrics, Teradata, Open source",Just now,2026-03-19 18:48
